Pelaaja,Joukkue,Sarja,Pelipaikka,Ikä,Kansallisuus,Vuosipalkka,Kausi
"Santeri Kinnunen","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,32,Brasilia,"187 899",2026
"Rasmus Kinnunen","HJK Testi",Esimerkkiliiga (FIN),Puolustaja,25,Nigeria,"110 514",2026
"Topias Manninen","HJK Testi",Esimerkkiliiga (FIN),Hyökkääjä,30,Nigeria,"151 801",2026
"Joona Manninen","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,26,Viro,"45 654",2026
"Aarne Nieminen","HJK Testi",Esimerkkiliiga (FIN),Hyökkääjä,36,Islanti,"77 149",2026
"Verneri Lehtinen","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,21,Nigeria,"102 089",2026
"Verneri Salo","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,36,Suomi,"197 320",2026
"Jere Ahonen","HJK Testi",Esimerkkiliiga (FIN),Keskikenttä,25,Islanti,"113 501",2026
"Aarne Virtanen","HJK Testi",Esimerkkiliiga (FIN),Keskikenttä,30,Islanti,"173 316",2026
"Kasper Haapala","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,26,Islanti,"101 542",2026
"Jere Nieminen","HJK Testi",Esimerkkiliiga (FIN),Hyökkääjä,28,Brasilia,"100 486",2026
"Ilari Sivonen","HJK Testi",Esimerkkiliiga (FIN),Maalivahti,23,Islanti,"284 929",2026
"Rasmus Lehtinen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,29,Islanti,"107 193",2026
"Väinö Ahonen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,28,Brasilia,"322 695",2026
"Topias Hakala","Rantalan Reipas",Esimerkkiliiga (FIN),Hyökkääjä,23,Islanti,"137 052",2026
"Topias Lehtinen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,21,Ruotsi,"103 586",2026
"Eetu Sivonen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,22,Viro,"75 425",2026
"Kasper Kinnunen","Rantalan Reipas",Esimerkkiliiga (FIN),Maalivahti,36,Suomi,"116 024",2026
"Kasper Koskinen","Rantalan Reipas",Esimerkkiliiga (FIN),Keskikenttä,33,Suomi,"178 176",2026
"Mikko Haapala","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,21,Nigeria,"94 277",2026
"Aarne Peltola","Rantalan Reipas",Esimerkkiliiga (FIN),Maalivahti,32,Islanti,"156 930",2026
"Leevi Koskinen","Rantalan Reipas",Esimerkkiliiga (FIN),Hyökkääjä,24,Islanti,"211 711",2026
"Rasmus Salo","Rantalan Reipas",Esimerkkiliiga (FIN),Maalivahti,27,Suomi,"119 306",2026
"Topias Kinnunen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,20,Viro,"197 632",2026
"Aleksi Rantanen","Rantalan Reipas",Esimerkkiliiga (FIN),Keskikenttä,36,Islanti,"106 555",2026
"Verneri Koskinen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,30,Ruotsi,"73 064",2026
"Ilari Kinnunen","Rantalan Reipas",Esimerkkiliiga (FIN),Keskikenttä,33,Viro,"195 768",2026
"Santeri Sivonen","Rantalan Reipas",Esimerkkiliiga (FIN),Keskikenttä,18,Suomi,"108 671",2026
"Jere Virtanen","Rantalan Reipas",Esimerkkiliiga (FIN),Keskikenttä,34,Viro,"152 857",2026
"Topias Rantanen","Rantalan Reipas",Esimerkkiliiga (FIN),Hyökkääjä,26,Nigeria,"98 713",2026
"Eetu Ahonen","Rantalan Reipas",Esimerkkiliiga (FIN),Maalivahti,22,Nigeria,"108 724",2026
"Aleksi Ojanen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,34,Nigeria,"129 524",2026
"Verneri Hakala","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,22,Ruotsi,"124 715",2026
"Rasmus Koskinen","Rantalan Reipas",Esimerkkiliiga (FIN),Puolustaja,25,Nigeria,"181 028",2026
"Santeri Lehtinen","Järvenpään Jyske",Esimerkkiliiga (FIN),Puolustaja,34,Brasilia,"75 172",2026
"Rasmus Nieminen","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,21,Brasilia,"60 787",2026
"Joona Virtanen","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,29,Islanti,"156 101",2026
"Ilari Lehtinen","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,28,Islanti,"57 143",2026
"Kasper Lehtinen","Järvenpään Jyske",Esimerkkiliiga (FIN),Puolustaja,27,Suomi,"127 613",2026
"Santeri Salo","Järvenpään Jyske",Esimerkkiliiga (FIN),Maalivahti,22,Suomi,"58 293",2026
"Rasmus Sivonen","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,30,Brasilia,"43 157",2026
"Joona Lehtinen","Järvenpään Jyske",Esimerkkiliiga (FIN),Maalivahti,24,Brasilia,"106 971",2026
"Joona Ruusunen","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,25,Nigeria,"143 426",2026
"Aarne Rantanen","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,23,Viro,"82 996",2026
"Väinö Ruusunen","Järvenpään Jyske",Esimerkkiliiga (FIN),Maalivahti,23,Nigeria,"90 803",2026
"Joona Peltola","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,34,Brasilia,"76 790",2026
"Eetu Peltola","Järvenpään Jyske",Esimerkkiliiga (FIN),Maalivahti,21,Suomi,"42 426",2026
"Jere Lehtinen","Järvenpään Jyske",Esimerkkiliiga (FIN),Puolustaja,32,Islanti,"137 484",2026
"Santeri Peltola","Järvenpään Jyske",Esimerkkiliiga (FIN),Maalivahti,33,Brasilia,"61 878",2026
"Verneri Kinnunen","Järvenpään Jyske",Esimerkkiliiga (FIN),Keskikenttä,23,Ruotsi,"89 712",2026
"Verneri Peltola","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,27,Islanti,"27 965",2026
"Jere Hakala","Järvenpään Jyske",Esimerkkiliiga (FIN),Maalivahti,20,Islanti,"110 695",2026
"Onni Manninen","Järvenpään Jyske",Esimerkkiliiga (FIN),Keskikenttä,24,Brasilia,"145 353",2026
"Aarne Lehtinen","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,32,Nigeria,"88 521",2026
"Mikko Kinnunen","Järvenpään Jyske",Esimerkkiliiga (FIN),Keskikenttä,30,Islanti,"130 553",2026
"Mikko Salo","Järvenpään Jyske",Esimerkkiliiga (FIN),Hyökkääjä,28,Suomi,"198 499",2026
"Santeri Hakala","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Keskikenttä,23,Suomi,"52 738",2026
"Kasper Rantanen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,21,Nigeria,"53 882",2026
"Rasmus Ruusunen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Hyökkääjä,24,Viro,"80 915",2026
"Mikko Ruusunen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Maalivahti,25,Suomi,"75 571",2026
"Ilari Nieminen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Keskikenttä,19,Ruotsi,"49 931",2026
"Verneri Manninen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,34,Viro,"70 793",2026
"Eetu Ruusunen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Maalivahti,36,Suomi,"59 129",2026
"Onni Kinnunen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,34,Viro,"38 139",2026
"Aarne Hakala","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,25,Islanti,"57 554",2026
"Eetu Kinnunen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Hyökkääjä,23,Brasilia,"56 613",2026
"Väinö Hakala","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,33,Nigeria,"287 834",2026
"Leevi Nieminen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,30,Ruotsi,"93 394",2026
"Kasper Virtanen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Maalivahti,21,Ruotsi,"128 414",2026
"Ilari Koskinen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Hyökkääjä,23,Nigeria,"37 076",2026
"Onni Salo","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,30,Ruotsi,"75 093",2026
"Onni Lehtinen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Keskikenttä,27,Ruotsi,"53 323",2026
"Joona Salo","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,28,Nigeria,"45 307",2026
"Kasper Peltola","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,18,Nigeria,"152 134",2026
"Rasmus Haapala","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Hyökkääjä,33,Nigeria,"134 951",2026
"Aleksi Nieminen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Hyökkääjä,36,Nigeria,"29 615",2026
"Verneri Nieminen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Puolustaja,35,Ruotsi,"60 741",2026
"Eetu Manninen","Pohjolan Palloilijat",Esimerkkiliiga (FIN),Maalivahti,33,Ruotsi,"64 586",2026
"Mikko Ojanen","Saaristo United",Esimerkkiliiga (FIN),Maalivahti,31,Islanti,"87 426",2026
"Leevi Virtanen","Saaristo United",Esimerkkiliiga (FIN),Puolustaja,30,Ruotsi,"153 501",2026
"Topias Salo","Saaristo United",Esimerkkiliiga (FIN),Keskikenttä,20,Islanti,"55 740",2026
"Aleksi Peltola","Saaristo United",Esimerkkiliiga (FIN),Puolustaja,23,Brasilia,"46 833",2026
"Aarne Salo","Saaristo United",Esimerkkiliiga (FIN),Puolustaja,25,Suomi,"47 529",2026
"Santeri Haapala","Saaristo United",Esimerkkiliiga (FIN),Hyökkääjä,26,Suomi,"86 950",2026
"Jere Sivonen","Saaristo United",Esimerkkiliiga (FIN),Puolustaja,33,Nigeria,"39 541",2026
"Mikko Virtanen","Saaristo United",Esimerkkiliiga (FIN),Hyökkääjä,19,Brasilia,"55 549",2026
"Joona Koskinen","Saaristo United",Esimerkkiliiga (FIN),Hyökkääjä,24,Nigeria,"69 495",2026
"Kasper Manninen","Saaristo United",Esimerkkiliiga (FIN),Hyökkääjä,27,Suomi,"45 269",2026
"Rasmus Ahonen","Saaristo United",Esimerkkiliiga (FIN),Keskikenttä,24,Ruotsi,"51 924",2026
"Aarne Kinnunen","Saaristo United",Esimerkkiliiga (FIN),Keskikenttä,36,Brasilia,"50 642",2026
"Topias Virtanen","Saaristo United",Esimerkkiliiga (FIN),Keskikenttä,30,Viro,"40 058",2026
"Topias Haapala","Saaristo United",Esimerkkiliiga (FIN),Keskikenttä,23,Brasilia,"54 709",2026
"Leevi Kinnunen","Saaristo United",Esimerkkiliiga (FIN),Keskikenttä,26,Islanti,"102 572",2026
"Leevi Ruusunen","Saaristo United",Esimerkkiliiga (FIN),Maalivahti,32,Brasilia,"93 269",2026
"Verneri Sivonen","Saaristo United",Esimerkkiliiga (FIN),Puolustaja,35,Nigeria,"90 362",2026
"Mikko Lehtinen","Saaristo United",Esimerkkiliiga (FIN),Keskikenttä,26,Suomi,"34 481",2026
"Leevi Salo","Saaristo United",Esimerkkiliiga (FIN),Puolustaja,28,Brasilia,"158 658",2026
"Kasper Hakala","Saaristo United",Esimerkkiliiga (FIN),Maalivahti,27,Suomi,"37 141",2026
"Onni Virtanen","Saaristo United",Esimerkkiliiga (FIN),Maalivahti,36,Suomi,"97 298",2026
"Väinö Nieminen","Saaristo United",Esimerkkiliiga (FIN),Maalivahti,33,Ruotsi,"84 514",2026
"Topias Koskinen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Puolustaja,30,Islanti,"41 412",2026
"Jere Haapala","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,29,Suomi,"79 340",2026
"Topias Ojanen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,22,Viro,"57 428",2026
"Mikko Hakala","Metsäkylän Veikot",Esimerkkiliiga (FIN),Keskikenttä,35,Islanti,"59 847",2026
"Mikko Peltola","Metsäkylän Veikot",Esimerkkiliiga (FIN),Maalivahti,30,Viro,"144 397",2026
"Ilari Virtanen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Puolustaja,36,Suomi,"59 477",2026
"Onni Sivonen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,23,Brasilia,"50 372",2026
"Mikko Manninen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,19,Viro,"117 597",2026
"Leevi Peltola","Metsäkylän Veikot",Esimerkkiliiga (FIN),Puolustaja,34,Ruotsi,"86 185",2026
"Topias Peltola","Metsäkylän Veikot",Esimerkkiliiga (FIN),Keskikenttä,35,Islanti,"47 629",2026
"Ilari Haapala","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,30,Nigeria,"76 983",2026
"Mikko Koskinen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,25,Nigeria,"67 237",2026
"Väinö Sivonen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,28,Suomi,"68 236",2026
"Aleksi Haapala","Metsäkylän Veikot",Esimerkkiliiga (FIN),Puolustaja,26,Ruotsi,"51 877",2026
"Väinö Virtanen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Keskikenttä,36,Viro,"32 208",2026
"Santeri Ahonen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Keskikenttä,25,Islanti,"70 963",2026
"Ilari Ruusunen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Puolustaja,24,Brasilia,"86 222",2026
"Jere Rantanen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Keskikenttä,23,Viro,"74 033",2026
"Rasmus Rantanen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Maalivahti,24,Islanti,"71 356",2026
"Joona Ahonen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Puolustaja,31,Islanti,"32 956",2026
"Väinö Kinnunen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,31,Ruotsi,"53 643",2026
"Rasmus Ojanen","Metsäkylän Veikot",Esimerkkiliiga (FIN),Hyökkääjä,30,Nigeria,"148 168",2026
"Aleksi Hakala","Lakeuden Lohi",Esimerkkiliiga (FIN),Puolustaja,27,Viro,"78 572",2026
"Ilari Peltola","Lakeuden Lohi",Esimerkkiliiga (FIN),Maalivahti,28,Suomi,"30 502",2026
"Joona Sivonen","Lakeuden Lohi",Esimerkkiliiga (FIN),Maalivahti,19,Brasilia,"85 381",2026
"Rasmus Virtanen","Lakeuden Lohi",Esimerkkiliiga (FIN),Hyökkääjä,18,Nigeria,"50 377",2026
"Jere Salo","Lakeuden Lohi",Esimerkkiliiga (FIN),Hyökkääjä,28,Islanti,"81 522",2026
"Eetu Lehtinen","Lakeuden Lohi",Esimerkkiliiga (FIN),Maalivahti,33,Brasilia,"36 819",2026
"Mikko Ahonen","Lakeuden Lohi",Esimerkkiliiga (FIN),Hyökkääjä,18,Nigeria,"94 245",2026
"Verneri Ruusunen","Lakeuden Lohi",Esimerkkiliiga (FIN),Keskikenttä,33,Ruotsi,"59 493",2026
"Leevi Rantanen","Lakeuden Lohi",Esimerkkiliiga (FIN),Maalivahti,32,Ruotsi,"50 773",2026
"Verneri Ahonen","Lakeuden Lohi",Esimerkkiliiga (FIN),Maalivahti,25,Nigeria,"48 141",2026
"Väinö Rantanen","Lakeuden Lohi",Esimerkkiliiga (FIN),Keskikenttä,28,Islanti,"67 728",2026
"Kasper Ahonen","Lakeuden Lohi",Esimerkkiliiga (FIN),Hyökkääjä,36,Viro,"68 300",2026
"Ilari Manninen","Lakeuden Lohi",Esimerkkiliiga (FIN),Hyökkääjä,34,Islanti,"33 394",2026
"Eetu Haapala","Lakeuden Lohi",Esimerkkiliiga (FIN),Puolustaja,33,Suomi,"70 517",2026
"Rasmus Peltola","Lakeuden Lohi",Esimerkkiliiga (FIN),Puolustaja,18,Islanti,"91 369",2026
"Ilari Hakala","Lakeuden Lohi",Esimerkkiliiga (FIN),Maalivahti,25,Islanti,"119 863",2026
"Joona Ojanen","Lakeuden Lohi",Esimerkkiliiga (FIN),Puolustaja,35,Nigeria,"68 933",2026
"Onni Koskinen","Lakeuden Lohi",Esimerkkiliiga (FIN),Hyökkääjä,24,Islanti,"43 398",2026
"Onni Hakala","Lakeuden Lohi",Esimerkkiliiga (FIN),Puolustaja,25,Islanti,"72 129",2026
"Leevi Lehtinen","Lakeuden Lohi",Esimerkkiliiga (FIN),Keskikenttä,31,Brasilia,"52 180",2026
"Onni Nieminen","Lakeuden Lohi",Esimerkkiliiga (FIN),Keskikenttä,26,Nigeria,"31 870",2026
"Leevi Ahonen","Lakeuden Lohi",Esimerkkiliiga (FIN),Keskikenttä,30,Nigeria,"90 982",2026
"Joona Hakala","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,19,Viro,"47 961",2026
"Joona Kinnunen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Hyökkääjä,18,Suomi,"22 519",2026
"Aarne Haapala","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Hyökkääjä,31,Brasilia,"38 647",2026
"Ilari Ojanen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Hyökkääjä,25,Islanti,"65 832",2026
"Aleksi Manninen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,20,Islanti,"106 939",2026
"Topias Ruusunen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Hyökkääjä,20,Ruotsi,"84 459",2026
"Santeri Koskinen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,27,Viro,"23 383",2026
"Kasper Ojanen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Maalivahti,20,Islanti,"36 103",2026
"Kasper Salo","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,19,Islanti,"28 251",2026
"Joona Haapala","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Keskikenttä,36,Islanti,"73 053",2026
"Onni Ojanen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,19,Ruotsi,"21 911",2026
"Väinö Haapala","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Maalivahti,31,Nigeria,"47 641",2026
"Ilari Ahonen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Keskikenttä,29,Suomi,"55 792",2026
"Aleksi Koskinen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Hyökkääjä,28,Viro,"87 328",2026
"Aleksi Sivonen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Maalivahti,20,Suomi,"34 459",2026
"Ilari Rantanen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Keskikenttä,34,Ruotsi,"44 888",2026
"Mikko Nieminen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Keskikenttä,19,Suomi,"27 935",2026
"Aleksi Ruusunen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Maalivahti,20,Brasilia,"47 513",2026
"Joona Rantanen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,36,Brasilia,"28 619",2026
"Jere Koskinen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,27,Suomi,"41 985",2026
"Eetu Koskinen","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Puolustaja,33,Suomi,"63 055",2026
"Leevi I. Peltola","Vuorenrinteen Vauhti",Esimerkkiliiga (FIN),Keskikenttä,20,Islanti,"29 904",2026
