Spelare;Lag;Liga;Position;Ålder;Månadslön;Valuta;Säsong
Sixten Bergqvist;Västviks IF;Exempelligan (SWE);Anfallare;31;42 406,26;SEK;2026
Love Wikström;Västviks IF;Exempelligan (SWE);Anfallare;34;138 073,43;SEK;2026
Nils Wikström;Västviks IF;Exempelligan (SWE);Mittfältare;23;86 240,39;SEK;2026
Elias Dahlin;Västviks IF;Exempelligan (SWE);Försvarare;31;36 355,74;SEK;2026
Måns Lindgren;Västviks IF;Exempelligan (SWE);Anfallare;34;120 817,17;SEK;2026
Elias Sjöberg;Västviks IF;Exempelligan (SWE);Mittfältare;34;45 294,97;SEK;2026
Nils Dahlin;Västviks IF;Exempelligan (SWE);Mittfältare;18;34 306,50;SEK;2026
Love Sjöberg;Västviks IF;Exempelligan (SWE);Anfallare;35;59 421,08;SEK;2026
Måns Wikström;Västviks IF;Exempelligan (SWE);Målvakt;18;160 617,87;SEK;2026
Sixten Sjöberg;Västviks IF;Exempelligan (SWE);Anfallare;35;139 095,23;SEK;2026
Love Bergqvist;Västviks IF;Exempelligan (SWE);Målvakt;33;80 853,71;SEK;2026
Nils Sandell;Bergsjö United;Exempelligan (SWE);Försvarare;26;78 333,13;SEK;2026
Hampus Ryding;Bergsjö United;Exempelligan (SWE);Målvakt;20;29 824,59;SEK;2026
Alvar Palmgren;Bergsjö United;Exempelligan (SWE);Försvarare;18;57 079,12;SEK;2026
Sixten Sandell;Bergsjö United;Exempelligan (SWE);Mittfältare;28;66 262,43;SEK;2026
Melker Norling;Bergsjö United;Exempelligan (SWE);Mittfältare;31;54 245,64;SEK;2026
Gustav Norling;Bergsjö United;Exempelligan (SWE);Mittfältare;24;78 032,43;SEK;2026
Viggo Palmgren;Bergsjö United;Exempelligan (SWE);Målvakt;36;106 867,49;SEK;2026
Måns Dahlin;Bergsjö United;Exempelligan (SWE);Mittfältare;22;110 422,15;SEK;2026
Elias Sandell;Bergsjö United;Exempelligan (SWE);Målvakt;21;124 661,29;SEK;2026
Viggo Ekholm;Bergsjö United;Exempelligan (SWE);Mittfältare;26;127 682,51;SEK;2026
Elias Lindgren;Bergsjö United;Exempelligan (SWE);Försvarare;22;31 190,64;SEK;2026
Elias Ekholm;Bergsjö United;Exempelligan (SWE);Mittfältare;28;58 596,72;SEK;2026
Gustav Hjalmarsson;Bergsjö United;Exempelligan (SWE);Försvarare;24;143 903,75;SEK;2026
Melker Sandell;Bergsjö United;Exempelligan (SWE);Försvarare;32;105 194,45;SEK;2026
Hampus Sjöberg;Bergsjö United;Exempelligan (SWE);Försvarare;22;37 360,19;SEK;2026
Folke Norling;Bergsjö United;Exempelligan (SWE);Målvakt;20;44 784,51;SEK;2026
Melker Sjöberg;Bergsjö United;Exempelligan (SWE);Försvarare;25;71 667,44;SEK;2026
Sixten Dahlin;Bergsjö United;Exempelligan (SWE);Anfallare;26;61 277,65;SEK;2026
Gustav Åkerlund;Bergsjö United;Exempelligan (SWE);Försvarare;29;45 003,74;SEK;2026
Melker Ryding;Bergsjö United;Exempelligan (SWE);Mittfältare;19;86 117,82;SEK;2026
Nils Palmgren;Lindholmens FF;Exempelligan (SWE);Målvakt;26;80 962,78;SEK;2026
Elias Hjalmarsson;Lindholmens FF;Exempelligan (SWE);Anfallare;24;66 286,58;SEK;2026
Melker Palmgren;Lindholmens FF;Exempelligan (SWE);Målvakt;28;27 694,86;SEK;2026
Love Åkerlund;Lindholmens FF;Exempelligan (SWE);Anfallare;25;41 518,23;SEK;2026
Gustav Ryding;Lindholmens FF;Exempelligan (SWE);Mittfältare;26;18 854,90;SEK;2026
Love Ekholm;Lindholmens FF;Exempelligan (SWE);Målvakt;31;84 563,84;SEK;2026
Viggo Hjalmarsson;Lindholmens FF;Exempelligan (SWE);Målvakt;21;68 494,17;SEK;2026
Folke Wikström;Lindholmens FF;Exempelligan (SWE);Målvakt;18;55 745,28;SEK;2026
Gustav Wikström;Lindholmens FF;Exempelligan (SWE);Anfallare;30;37 122,45;SEK;2026
Anton Norling;Lindholmens FF;Exempelligan (SWE);Anfallare;19;48 795,41;SEK;2026
Viggo Lindgren;Lindholmens FF;Exempelligan (SWE);Anfallare;26;79 982,70;SEK;2026
Sixten Norling;Lindholmens FF;Exempelligan (SWE);Mittfältare;25;39 916,64;SEK;2026
Nils Ryding;Lindholmens FF;Exempelligan (SWE);Målvakt;19;22 244,31;SEK;2026
Sixten Ekholm;Lindholmens FF;Exempelligan (SWE);Mittfältare;28;67 431,63;SEK;2026
Folke Palmgren;Lindholmens FF;Exempelligan (SWE);Försvarare;35;35 950,97;SEK;2026
Viggo Sandell;Lindholmens FF;Exempelligan (SWE);Försvarare;30;108 319,73;SEK;2026
Hampus Lindgren;Lindholmens FF;Exempelligan (SWE);Anfallare;18;35 005,47;SEK;2026
Hampus Palmgren;Lindholmens FF;Exempelligan (SWE);Målvakt;32;143 064,34;SEK;2026
Folke Sandell;Lindholmens FF;Exempelligan (SWE);Målvakt;30;33 686,52;SEK;2026
Love Sandell;Lindholmens FF;Exempelligan (SWE);Försvarare;23;32 081,55;SEK;2026
Viggo Norling;Kvarnby BK;Exempelligan (SWE);Mittfältare;21;100 607,71;SEK;2026
Sixten Ryding;Kvarnby BK;Exempelligan (SWE);Försvarare;20;29 411,09;SEK;2026
Gustav Palmgren;Kvarnby BK;Exempelligan (SWE);Mittfältare;18;22 067,07;SEK;2026
Gustav T. Åkerlund;Kvarnby BK;Exempelligan (SWE);Försvarare;22;51 137,24;SEK;2026
Hampus Norling;Kvarnby BK;Exempelligan (SWE);Målvakt;18;19 863,22;SEK;2026
Folke G. Sjöberg;Kvarnby BK;Exempelligan (SWE);Målvakt;31;37 706,41;SEK;2026
Gustav O. Sjöberg;Kvarnby BK;Exempelligan (SWE);Mittfältare;23;73 020,76;SEK;2026
Love L. Dahlin;Kvarnby BK;Exempelligan (SWE);Anfallare;19;56 534,74;SEK;2026
Melker E. Bergqvist;Kvarnby BK;Exempelligan (SWE);Målvakt;26;43 854,35;SEK;2026
Nils C. Hjalmarsson;Kvarnby BK;Exempelligan (SWE);Anfallare;31;84 871,51;SEK;2026
Hampus M. Bergqvist;Kvarnby BK;Exempelligan (SWE);Målvakt;21;64 722,32;SEK;2026
Love I. Norling;Kvarnby BK;Exempelligan (SWE);Anfallare;20;35 190,88;SEK;2026
Gustav V. Bergqvist;Kvarnby BK;Exempelligan (SWE);Försvarare;35;71 483,68;SEK;2026
Hampus U. Ekholm;Kvarnby BK;Exempelligan (SWE);Försvarare;35;65 269,80;SEK;2026
Elias R. Palmgren;Kvarnby BK;Exempelligan (SWE);Målvakt;33;43 123,00;SEK;2026
Nils W. Sjöberg;Kvarnby BK;Exempelligan (SWE);Målvakt;22;72 432,99;SEK;2026
Gustav X. Ekholm;Kvarnby BK;Exempelligan (SWE);Målvakt;20;17 135,51;SEK;2026
Viggo I. Sandell;Kvarnby BK;Exempelligan (SWE);Mittfältare;20;65 474,56;SEK;2026
Folke K. Ekholm;Kvarnby BK;Exempelligan (SWE);Försvarare;28;28 363,63;SEK;2026
Melker U. Sjöberg;Kvarnby BK;Exempelligan (SWE);Anfallare;19;61 282,56;SEK;2026
Elias V. Hjalmarsson;Åsheds IK;Exempelligan (SWE);Målvakt;32;34 506,10;SEK;2026
Folke E. Norling;Åsheds IK;Exempelligan (SWE);Målvakt;28;38 173,43;SEK;2026
Nils Q. Sandell;Åsheds IK;Exempelligan (SWE);Mittfältare;21;37 150,97;SEK;2026
Melker M. Åkerlund;Åsheds IK;Exempelligan (SWE);Försvarare;35;65 635,67;SEK;2026
Nils V. Bergqvist;Åsheds IK;Exempelligan (SWE);Försvarare;30;49 922,47;SEK;2026
Love L. Bergqvist;Åsheds IK;Exempelligan (SWE);Mittfältare;21;39 690,30;SEK;2026
Sixten P. Bergqvist;Åsheds IK;Exempelligan (SWE);Mittfältare;26;69 187,83;SEK;2026
Gustav P. Lindgren;Åsheds IK;Exempelligan (SWE);Mittfältare;33;35 268,67;SEK;2026
Hampus O. Dahlin;Åsheds IK;Exempelligan (SWE);Mittfältare;32;21 269,21;SEK;2026
Måns S. Sjöberg;Åsheds IK;Exempelligan (SWE);Målvakt;26;15 747,67;SEK;2026
Anton U. Dahlin;Åsheds IK;Exempelligan (SWE);Målvakt;20;34 606,74;SEK;2026
Love Q. Dahlin;Åsheds IK;Exempelligan (SWE);Anfallare;31;41 780,61;SEK;2026
Sixten C. Bergqvist;Åsheds IK;Exempelligan (SWE);Försvarare;27;42 994,08;SEK;2026
Anton T. Palmgren;Åsheds IK;Exempelligan (SWE);Försvarare;23;61 683,70;SEK;2026
Gustav O. Ekholm;Åsheds IK;Exempelligan (SWE);Mittfältare;24;35 185,59;SEK;2026
Anton K. Ryding;Åsheds IK;Exempelligan (SWE);Anfallare;30;40 878,49;SEK;2026
Elias F. Sandell;Åsheds IK;Exempelligan (SWE);Försvarare;20;53 496,05;SEK;2026
Love F. Hjalmarsson;Åsheds IK;Exempelligan (SWE);Anfallare;33;26 848,70;SEK;2026
Hampus S. Dahlin;Åsheds IK;Exempelligan (SWE);Försvarare;25;48 674,96;SEK;2026
Viggo V. Bergqvist;Åsheds IK;Exempelligan (SWE);Anfallare;24;38 842,32;SEK;2026
